Original Title,types,variable_index,country,date,types_recode,continent,cultural distance,distance_to_ankara
Bir Bulut Olsam,Fall–Rise,4,United Arab Emirates,2011,1,Asia,0.01,0.1912597721024848
Bir Bulut Olsam,Fall–Rise,10,Spain,2020,1,Europe,0.7732433,0.2640219694512341
Bir Bulut Olsam,Fall–Rise,5,Bahrain,2011,1,Asia,,
Bir Bulut Olsam,Fall–Rise,8,Croatia,2013,1,Europe,0.3995508,0.1290931496252333
Bir Bulut Olsam,Fall–Rise,9,Kazakhstan,September 2013,1,Asia,0.2559081,0.2903128685434853
Bir Zamanlar Cukurova,Fall–Rise–Fall,2,United Arab Emirates,"September 14, 2018",2,Asia,0.01,0.1912597721024848
Bir Zamanlar Cukurova,Fall–Rise–Fall,3,Argentina,"January 28, 2021",2,South America,0.4332813,0.8508386475808689
Bir Zamanlar Cukurova,Fall–Rise–Fall,4,Spain,"July 4, 2021",2,Europe,0.7732433,0.2640219694512341
Bir Zamanlar Cukurova,Fall–Rise–Fall,5,Italy,"July 4, 2022",2,Europe,0.4192803,0.1478157140319547
Bodrum Masali,Fall–Rise,2,Australia,"September 24, 2020",1,Oceania,0.7100703,1.0
Bu Sehir Arkandan Gelecek,Fall–Rise,2,Poland,"September 29, 2017",1,Europe,0.324006,0.1233551371653434
Bu Sehir Arkandan Gelecek,Fall–Rise,3,Spain,"October 19, 2022",1,Europe,0.7732433,0.2640219694512341
Börü,Rise,2,Argentina,"December 21, 2018",0,South America,0.4332813,0.8508386475808689
Börü,Rise,3,Australia,"December 21, 2018",0,Oceania,0.7100703,1.0
Börü,Rise,6,India,"December 21, 2018",0,Asia,0.0793723,0.33051190066537
Börü,Rise,7,Poland,"December 21, 2018",0,Europe,0.324006,0.1233551371653434
Börü,Rise,4,Germany,"December 21, 2018",0,Europe,0.7842516,0.1673367793261102
Börü,Rise,5,Spain,"December 21, 2018",0,Europe,0.7732433,0.2640219694512341
Cam Tavanlar,Rise–Fall–Rise,2,Australia,"June 9, 2021",0,Oceania,0.7100703,1.0
Cam Tavanlar,Rise–Fall–Rise,6,Philippines,"November 1, 2021",0,Asia,0.1298888,0.6621582412275726
Cam Tavanlar,Rise–Fall–Rise,4,United Arab Emirates,"June 10, 2021",0,Asia,0.01,0.1912597721024848
Cam Tavanlar,Rise–Fall–Rise,5,Indonesia,"June 10, 2021",0,Asia,0.0833755,0.6296538091518518
